transaction_id,product_name,customer_name,city,quantity,price,transaction_date
1,Keyboard,Customer_49,New York,4,678.03,2024-06-30
2,Laptop,Customer_37,Los Angeles,3,637.83,2024-07-05
3,Laptop,Customer_40,Houston,2,665.58,2024-10-21
4,Headphones,Customer_3,Los Angeles,4,222.11,2024-11-20
5,Mouse,Customer_10,Los Angeles,3,87.2,2024-07-25
6,Laptop,Customer_6,Chicago,2,863.93,2024-02-25
7,Headphones,Customer_49,Phoenix,3,797.22,2024-01-29
8,Webcam,Customer_40,Los Angeles,1,375.11,2024-04-18
9,Keyboard,Customer_8,Phoenix,1,287.62,2024-04-04
10,Mouse,Customer_43,Phoenix,3,520.97,2024-08-31
11,Keyboard,Customer_36,Chicago,1,944.35,2024-07-21
12,Keyboard,Customer_27,Houston,3,101.48,2024-02-13
13,Headphones,Customer_26,New York,3,709.4,2024-09-12
14,Laptop,Customer_34,Chicago,4,610.46,2024-09-14
15,Webcam,Customer_19,Los Angeles,3,341.3,2024-05-22
16,Keyboard,Customer_9,Phoenix,3,446.56,2024-08-16
17,Monitor,Customer_47,New York,1,548.39,2024-04-30
18,Mouse,Customer_42,Chicago,4,412.42,2024-05-22
19,Keyboard,Customer_26,Los Angeles,4,901.06,2024-04-12
20,Mouse,Customer_49,Los Angeles,1,887.63,2024-11-30
21,Headphones,Customer_5,New York,3,459.11,2024-09-20
22,Webcam,Customer_10,Houston,3,523.16,2024-07-23
23,Webcam,Customer_6,Phoenix,1,170.91,2024-12-25
24,Keyboard,Customer_29,New York,4,321.79,2024-08-13
25,Laptop,Customer_17,Phoenix,4,780.39,2024-03-11
26,Webcam,Customer_49,Phoenix,2,311.97,2024-10-08
27,Keyboard,Customer_44,Los Angeles,4,722.41,2024-07-19
28,Mouse,Customer_14,Houston,1,420.17,2024-11-06
29,Mouse,Customer_28,Los Angeles,4,420.91,2024-03-30
30,Monitor,Customer_20,Houston,1,149.35,2024-04-02
31,Mouse,Customer_9,Houston,1,551.93,2024-06-18
32,Headphones,Customer_4,Phoenix,2,171.54,2024-07-20
33,Monitor,Customer_41,Houston,4,155.78,2024-06-20
34,Monitor,Customer_7,Houston,3,545.76,2024-10-26
