transaction_id,product_name,customer_name,city,quantity,price,transaction_date
1,Headphones,Customer_43,New York,1,912.46,2024-07-10
2,Monitor,Customer_18,Phoenix,2,400.85,2024-08-03
3,Monitor,Customer_34,Los Angeles,4,489.58,2024-01-09
4,Webcam,Customer_41,New York,4,229.84,2024-04-05
5,Monitor,Customer_44,Houston,2,517.34,2024-12-25
6,Webcam,Customer_14,Houston,3,43.11,2024-08-02
7,Mouse,Customer_45,New York,2,681.39,2024-12-22
8,Keyboard,Customer_5,Chicago,3,247.94,2024-06-25
9,Monitor,Customer_9,Phoenix,1,877.41,2024-10-29
10,Monitor,Customer_4,Phoenix,3,687.43,2024-04-24
11,Monitor,Customer_43,Chicago,2,443.72,2024-03-25
12,Webcam,Customer_50,New York,2,689.14,2024-05-28
13,Keyboard,Customer_41,Los Angeles,2,376.89,2024-04-08
14,Mouse,Customer_40,Phoenix,4,66.12,2024-11-08
15,Headphones,Customer_19,Houston,2,426.67,2024-12-19
16,Headphones,Customer_45,Houston,3,393.43,2024-12-11
17,Mouse,Customer_42,Chicago,1,26.0,2024-06-08
18,Headphones,Customer_28,Houston,2,748.2,2024-03-16
19,Laptop,Customer_46,New York,4,78.34,2024-02-29
20,Webcam,Customer_17,Phoenix,4,317.83,2024-04-25
21,Mouse,Customer_43,New York,4,778.5,2024-10-13
22,Monitor,Customer_34,Houston,4,517.32,2024-11-21
23,Keyboard,Customer_7,New York,4,524.22,2024-01-27
24,Headphones,Customer_36,New York,4,390.59,2024-03-25
25,Keyboard,Customer_12,Chicago,1,77.46,2024-09-02
26,Webcam,Customer_48,Chicago,4,266.07,2024-09-27
27,Laptop,Customer_10,New York,4,281.56,2024-12-03
28,Laptop,Customer_24,Houston,1,53.65,2024-07-15
29,Laptop,Customer_16,Phoenix,2,266.6,2024-04-28
30,Keyboard,Customer_6,Los Angeles,2,800.0,2024-11-30
31,Monitor,Customer_4,Houston,1,996.9,2024-07-05
32,Monitor,Customer_33,Chicago,3,740.25,2024-10-02
33,Laptop,Customer_37,New York,3,315.28,2024-09-23
34,Mouse,Customer_24,Los Angeles,3,383.86,2024-02-28
35,Mouse,Customer_25,Phoenix,4,779.68,2024-10-29
36,Monitor,Customer_45,Chicago,4,308.85,2024-09-04
37,Mouse,Customer_35,Los Angeles,2,185.44,2024-07-25
38,Headphones,Customer_18,Chicago,1,759.88,2024-02-13
39,Monitor,Customer_16,Phoenix,1,508.75,2024-08-20
40,Webcam,Customer_18,Houston,1,745.03,2024-08-20
41,Keyboard,Customer_45,Los Angeles,2,711.27,2024-08-19
42,Keyboard,Customer_6,New York,4,902.11,2024-05-05
